pdb,resolution,year,affinity_raw,affinity_M,affinity_type,pKd,pocket_pdb,rna_pdb,lig_sdf,lig_mol2,n_rna_atoms,n_lig_atoms,rna_C,rna_N,rna_O,rna_P,rna_S,lig_C,lig_N,lig_O,lig_S,lig_F,lig_Cl,lig_Br,lig_I,lig_P,mol_weight,n_rings,n_hbd,n_hba,n_rot_bonds,tpsa,pocket_file,ligand_sdf,ligand_mol2,subtype,rs_subclass
1arj,NMR,1996,Kd=1mM,0.001,KD,3.0,/home/stalin/Desktop/PDFL-RNA/NA-L/1arj/1arj_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1arj/1arj_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1arj/1arj_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1arj/1arj_ligand.mol2,641,12,190,75,141,20,0,6,4,2,0,0,0,0,0,0,175.212,0.0,4.0,2.0,5.0,131.41,/home/stalin/Desktop/PDFL-RNA/NA-L/1arj/1arj_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1arj/1arj_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1arj/1arj_ligand.mol2,viral_tar,other_lig
407d,2.20,1998,Kd=344nM,3.44e-07,KD,6.4634,/home/stalin/Desktop/PDFL-RNA/NA-L/407d/407d_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/407d/407d_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/407d/407d_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/407d/407d_ligand.mol2,657,48,189,74,148,18,0,31,11,6,0,0,0,0,0,0,663.7400000000001,4.0,6.0,7.0,14.0,205.61000000000004,/home/stalin/Desktop/PDFL-RNA/NA-L/407d/407d_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/407d/407d_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/407d/407d_ligand.mol2,duplex_groove,other_lig
408d,2.10,1998,Kd=48nM,4.8000000000000006e-08,KD,7.3188,/home/stalin/Desktop/PDFL-RNA/NA-L/408d/408d_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/408d/408d_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/408d/408d_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/408d/408d_ligand.mol2,618,47,176,70,150,17,0,31,11,5,0,0,0,0,0,0,648.7490000000001,4.0,6.0,6.0,14.0,182.55,/home/stalin/Desktop/PDFL-RNA/NA-L/408d/408d_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/408d/408d_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/408d/408d_ligand.mol2,duplex_groove,other_lig
1qms,NMR,1999,Kd=1nM,1e-09,KD,9.0,/home/stalin/Desktop/PDFL-RNA/NA-L/1qms/1qms_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qms/1qms_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qms/1qms_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1qms/1qms_ligand.mol2,727,121,222,87,136,22,0,80,4,34,2,0,0,0,1,0,1883.9599999999991,10.0,11.0,38.0,39.0,463.7800000000002,/home/stalin/Desktop/PDFL-RNA/NA-L/1qms/1qms_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1qms/1qms_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1qms/1qms_ligand.mol2,other_misc,other_lig
1byj,NMR,1999,Kd=2uM,2e-06,KD,5.699,/home/stalin/Desktop/PDFL-RNA/NA-L/1byj/1byj_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1byj/1byj_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1byj/1byj_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1byj/1byj_ligand.mol2,647,31,191,79,139,20,0,19,5,7,0,0,0,0,0,0,454.5890000000002,3.0,8.0,7.0,6.0,224.78,/home/stalin/Desktop/PDFL-RNA/NA-L/1byj/1byj_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1byj/1byj_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1byj/1byj_ligand.mol2,ribosomal_asite,other_lig
1db6,NMR,2000,Kd=0.1mM,0.0001,KD,4.0,/home/stalin/Desktop/PDFL-RNA/NA-L/1db6/1db6_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1db6/1db6_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1db6/1db6_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1db6/1db6_ligand.mol2,445,12,136,53,85,14,0,6,5,1,0,0,0,0,0,0,175.236,0.0,5.0,1.0,5.0,134.36999999999998,/home/stalin/Desktop/PDFL-RNA/NA-L/1db6/1db6_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1db6/1db6_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1db6/1db6_ligand.mol2,other_misc,other_lig
1cvy,2.15,2000,Kd=0.38uM,3.8e-07,KD,6.4202,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvy/1cvy_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvy/1cvy_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvy/1cvy_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvy/1cvy_ligand.mol2,636,47,185,73,144,18,0,31,11,5,0,0,0,0,0,0,648.7490000000001,4.0,6.0,6.0,14.0,182.55,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvy/1cvy_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvy/1cvy_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvy/1cvy_ligand.mol2,duplex_groove,other_lig
454d,1.20,2000,Kd=10nM,1e-08,KD,8.0,/home/stalin/Desktop/PDFL-RNA/NA-L/454d/454d_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/454d/454d_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/454d/454d_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/454d/454d_ligand.mol2,709,0,194,80,194,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,/home/stalin/Desktop/PDFL-RNA/NA-L/454d/454d_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/454d/454d_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/454d/454d_ligand.mol2,duplex_groove,other_lig
1cvx,2.27,2000,Kd=11uM,1.1e-05,KD,4.9586,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvx/1cvx_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvx/1cvx_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvx/1cvx_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvx/1cvx_ligand.mol2,623,48,185,73,131,18,0,31,11,6,0,0,0,0,0,0,663.7400000000001,4.0,6.0,7.0,14.0,205.61000000000004,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvx/1cvx_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvx/1cvx_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1cvx/1cvx_ligand.mol2,duplex_groove,other_lig
1f27,1.30,2000,Kd=1uM,1e-06,KD,6.0,/home/stalin/Desktop/PDFL-RNA/NA-L/1f27/1f27_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1f27/1f27_nucleic_acid.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1f27/1f27_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1f27/1f27_ligand.mol2,719,16,193,84,201,19,0,10,2,3,1,0,0,0,0,0,243.308,2.0,2.0,4.0,5.0,81.25999999999999,/home/stalin/Desktop/PDFL-RNA/NA-L/1f27/1f27_pocket.pdb,/home/stalin/Desktop/PDFL-RNA/NA-L/1f27/1f27_ligand.sdf,/home/stalin/Desktop/PDFL-RNA/NA-L/1f27/1f27_ligand.mol2,aptamer,other_lig
