combination,r_10fold,rho_10fold,rmse_10fold,r2_10fold,ci_lo,ci_hi,r_loo,rmse_loo,dim,n,r_10fold_aptamer,r_loo_aptamer,r_10fold_duplex_groove,r_loo_duplex_groove,r_10fold_g_quadruplex,r_loo_g_quadruplex,r_10fold_other_misc,r_loo_other_misc,r_10fold_ribosomal_asite,r_loo_ribosomal_asite,r_10fold_riboswitch,r_loo_riboswitch,r_10fold_viral_tar,r_loo_viral_tar
PH_bipartite,0.6131,0.5354,1.2395,0.3712,0.488,0.709,0.6234,1.2249,3888,143,0.7973,0.7945,0.5905,0.5457,0.5803,0.3657,0.5144,0.5068,0.3652,0.4113,0.5609,0.5849,0.6237,0.7012
PSRT_fvec,0.5352,0.4648,1.3268,0.2795,0.405,0.641,0.5247,1.3376,3744,143,0.8412,0.8128,0.4413,0.5411,-0.0709,-0.0684,0.367,0.326,0.5362,0.6454,0.451,0.3909,0.67,0.6616
PH+PSRT,0.5468,0.4896,1.3198,0.2871,0.414,0.656,0.5537,1.3414,7632,143,0.7825,0.7706,0.4862,0.5341,0.0368,0.0947,0.3725,0.4463,0.612,0.6176,0.4683,0.5093,0.7708,0.76
CPF,0.2999,0.2894,1.5317,0.0397,0.133,0.444,0.45,1.4111,660,143,0.2932,0.5798,0.4212,0.1344,0.2769,-0.0785,-0.1814,-0.0495,-0.2125,0.2541,0.3777,0.5077,-0.9035,0.9037
RNA-FM,0.3344,0.2967,1.4819,0.1011,0.168,0.479,0.4084,1.4647,640,143,0.3945,0.5867,0.3542,0.1903,0.3864,0.6661,0.1919,-0.089,0.5929,0.2263,0.2985,0.5063,0.8776,-0.6062
Morgan,0.518,0.4253,1.3389,0.2662,0.391,0.619,0.3685,1.4643,1024,143,0.7115,0.53,0.3046,-0.238,-0.1534,-0.4764,0.2137,0.0438,0.4341,0.1999,0.4566,0.4354,0.8885,0.7535
Physicochemical,0.456,0.3413,1.3922,0.2066,0.313,0.575,0.4105,1.4254,17,143,0.8382,0.8759,0.602,0.2469,0.4522,0.1601,0.1664,0.1209,0.242,0.2194,0.4008,0.3412,0.4402,0.3832
WCh,0.5775,0.4797,1.2854,0.3237,0.441,0.683,0.5944,1.2658,5940,143,0.8331,0.8578,0.2885,0.2029,0.3434,0.2745,0.4121,0.4092,0.39,0.6023,0.5459,0.5632,0.5426,0.6576
PH+CPF,0.5917,0.5501,1.2774,0.3321,0.467,0.697,0.6234,1.2295,4548,143,0.7798,0.7935,0.5874,0.4931,0.2678,0.2898,0.4923,0.5071,0.4677,0.4962,0.5316,0.5834,0.861,0.7903
PH+PSRT+CPF,0.5515,0.5144,1.3225,0.2841,0.42,0.667,,,8292,143,0.7761,,0.4794,,-0.0315,,0.4122,,0.7068,,0.4666,,0.7905,
PH+PSRT+CPF+FM,0.6255,0.5587,1.2236,0.3872,0.512,0.716,,,8932,143,0.8419,,0.6071,,0.1311,,0.4444,,0.5054,,0.5922,,0.672,
PH+PSRT+CPF+FM+Phys,0.625,0.5575,1.2243,0.3865,0.511,0.716,,,8949,143,0.8416,,0.6067,,0.1333,,0.4424,,0.503,,0.5918,,0.6724,
Full_ensemble,0.6091,0.5466,1.2499,0.3606,0.494,0.702,,,9973,143,0.8435,,0.7066,,0.0675,,0.4937,,0.5942,,0.5374,,0.6814,
