combination,modalities,n_modalities,dim,r_10fold,rho_10fold,rmse_10fold,r2_10fold,ci_lo,ci_hi,r_loo,rmse_loo,r_aptamer,r_duplex_groove,r_g_quadruplex,r_other_misc,r_ribosomal_asite,r_riboswitch,r_viral_tar
PH,PH,1,3888,0.6131,0.5354,1.2395,0.3712,0.488,0.709,0.6234,1.2249,0.797,0.591,0.58,0.514,0.365,0.561,0.624
PSRT,PSRT,1,3744,0.5352,0.4648,1.3268,0.2795,0.405,0.641,0.5247,1.3376,0.841,0.441,-0.071,0.367,0.536,0.451,0.67
PH+PSRT,PH+PSRT,2,7632,0.5468,0.4896,1.3198,0.2871,0.414,0.656,0.5537,1.3414,0.782,0.486,0.037,0.372,0.612,0.468,0.771
CPF,CPF,1,660,0.2999,0.2894,1.5317,0.0397,0.133,0.444,0.45,1.4111,0.293,0.421,0.277,-0.181,-0.212,0.378,-0.903
FM,FM,1,640,0.3344,0.2967,1.4819,0.1011,0.168,0.479,0.4084,1.4647,0.394,0.354,0.386,0.192,0.593,0.299,0.878
MFP,MFP,1,1024,0.518,0.4253,1.3389,0.2662,0.391,0.619,0.3685,1.4643,0.711,0.305,-0.153,0.214,0.434,0.457,0.889
PHY,PHY,1,17,0.456,0.3413,1.3922,0.2066,0.313,0.575,0.4105,1.4254,0.838,0.602,0.452,0.166,0.242,0.401,0.44
PH+CPF,PH+CPF,2,4548,0.5917,0.5501,1.2774,0.3321,0.467,0.697,0.6234,1.2295,0.78,0.587,0.268,0.492,0.468,0.532,0.861
PSRT+CPF,PSRT+CPF,2,4404,0.5356,0.4694,1.3266,0.2796,0.405,0.64,0.5256,1.3373,0.829,0.448,-0.097,0.359,0.566,0.46,0.679
PH+PSRT+CPF,PH+PSRT+CPF,3,8292,0.5515,0.5144,1.3225,0.2841,0.42,0.667,0.5535,1.3472,0.776,0.479,-0.032,0.412,0.707,0.467,0.791
PH+PSRT+FM,PH+PSRT+FM,3,8272,0.6279,0.5603,1.2202,0.3906,0.515,0.718,0.6326,1.2242,0.846,0.614,0.163,0.454,0.523,0.59,0.668
PH+PSRT+CPF+FM,PH+PSRT+CPF+FM,4,8932,0.6255,0.5587,1.2236,0.3872,0.512,0.716,0.6318,1.2267,0.842,0.607,0.131,0.444,0.505,0.592,0.672
PH+PSRT+CPF+FM+MFP+PHY,PH+PSRT+CPF+FM+MFP+PHY,6,9973,0.6091,0.5466,1.2499,0.3606,0.494,0.702,0.6052,1.2712,0.844,0.707,0.067,0.494,0.594,0.537,0.681
